Generator Number,Bus,Technology,Capacity (MW),Ramp up (MW/h),Ramp down (MW/h),Min down time,Min up time,Minimum output (MW),Generation in time period 0,Cost ($/MW),Time ,Percentage of Peak Load %,Load (MW)
1,101,OCGT,20,20,20,1,2,8,20,28.967,1,0.67,1005
2,101,CCGT,76,70,70,2,3,40,0,18.433,2,0.63,945
3,102,OCGT,20,20,20,1,2,8,0,28.947,3,0.6,900
4,102,CCGT,76,70,70,2,3,40,0,18.403,4,0.59,885
5,107,CCGT,100,100,100,2,4,40,100,17.5904,5,0.59,885
6,107,CCGT,100,100,100,2,4,40,90,17.6004,6,0.6,900
7,113,CCGT,197,190,190,3,4,104,177,17.1925,7,0.74,1110
8,113,CCGT,197,190,190,3,4,104,0,17.2125,8,0.86,1290
9,115,OCGT,12,12,12,1,2,5.4,12,29.453,9,0.95,1425
10,115,IGCC,155,70,80,16,24,54.24,134,23.8096,10,0.96,1440
11,116,IGCC,155,70,80,16,24,54.24,123,23.8196,11,0.96,1440
12,118,Nuclear,400,280,280,24,168,100,0,6.960789,12,0.95,1425
13,121,Nuclear,400,280,280,24,168,100,377,6.970789,13,0.95,1425
,,,,,,,,,,,14,0.95,1425
,,,,,,,,,,,15,0.93,1395
,,,,,,,,,,,16,0.94,1410
,,,,,,,,,,,17,0.99,1485
,,,,,,,,,,,18,1,1500
,,,,,,,,,,,19,1,1500
,,,,,,,,,,,20,0.96,1440
,,,,,,,,,,,21,0.91,1365
,,,,,,,,,,,22,0.83,1245
,,,,,,,,,,,23,0.73,1095
,,,,,,,,,,,24,0.63,945
