Generator Number,Bus,Technology,Capacity (MW),Ramp up (MW/h),Ramp down (MW/h),Min down time,Min up time,Minimum output (MW),Generation in time period 0,Cost ($/MW),Time ,Percentage of Peak Load %,Load (MW)
1,101,OCGT,20,20,20,1,2,8,20,28.967,1,0.67,2010
2,101,CCGT,76,70,70,2,3,40,0,18.433,2,0.63,1890
3,102,OCGT,20,20,20,1,2,8,0,28.947,3,0.6,1800
4,102,CCGT,76,70,70,2,3,40,0,18.403,4,0.59,1770
5,107,CCGT,100,100,100,2,4,40,100,17.5904,5,0.59,1770
6,107,CCGT,100,100,100,2,4,40,90,17.6004,6,0.6,1800
7,113,CCGT,197,190,190,3,4,104,177,17.1925,7,0.74,2220
8,113,CCGT,197,190,190,3,4,104,0,17.2125,8,0.86,2580
9,115,OCGT,12,12,12,1,2,5.4,12,29.453,9,0.95,2850
10,115,IGCC,155,70,80,16,24,54.24,134,23.8096,10,0.96,2880
11,116,IGCC,155,70,80,16,24,54.24,123,23.8196,11,0.96,2880
12,118,Nuclear,400,280,280,24,168,100,0,6.960789,12,0.95,2850
13,121,Nuclear,400,280,280,24,168,100,377,6.97079,13,0.95,2850
14,123,Coal,350,140,140,5,8,140,0,26.2131,14,0.95,2850
15,123,Coal,350,140,140,5,8,140,0,26.2132,15,0.93,2790
16,118,Nuclear,400,280,280,24,168,100,0,6.960788,16,0.94,2820
17,121,Nuclear,400,280,280,24,168,100,377,6.970789,17,0.99,2970
,,,,,,,,,,,18,1,3000
,,,,,,,,,,,19,1,3000
,,,,,,,,,,,20,0.96,2880
,,,,,,,,,,,21,0.91,2730
,,,,,,,,,,,22,0.83,2490
,,,,,,,,,,,23,0.73,2190
,,,,,,,,,,,24,0.63,1890
